#0.000120005   	(-6.200512e+06 1.683751e+06 2.536444e+06)	(-6.200487e+06 1.683751e+06 2.536444e+06)	(-2.507197e+01 -2.230156e-02 3.036540e-02)
#0.000264017   	(-4.665410e+05 1.466353e+05 2.259419e+05)	(-4.665094e+05 1.466353e+05 2.259419e+05)	(-3.158743e+01 -3.133048e-02 -6.039048e-02)
#0.000436833   	(-1.981848e+05 1.035695e+05 1.553532e+05)	(-1.981526e+05 1.035695e+05 1.553533e+05)	(-3.216994e+01 -3.299873e-02 -1.041627e-01)
#0.000644211   	(-1.125357e+05 7.901867e+04 1.195565e+05)	(-1.125036e+05 7.901873e+04 1.195566e+05)	(-3.212462e+01 -5.995049e-02 -1.239667e-01)
#0.000893055   	(-7.338265e+04 6.466057e+04 9.991648e+04)	(-7.335056e+04 6.466065e+04 9.991662e+04)	(-3.208322e+01 -8.249638e-02 -1.373763e-01)
#0.00119165    	(-5.075417e+04 5.566285e+04 8.799542e+04)	(-5.072213e+04 5.566295e+04 8.799556e+04)	(-3.204286e+01 -1.023603e-01 -1.464068e-01)
#0.0015499     	(-3.654778e+04 4.974324e+04 8.038423e+04)	(-3.651578e+04 4.974336e+04 8.038438e+04)	(-3.200214e+01 -1.207540e-01 -1.522305e-01)
#0.00197972    	(-2.705153e+04 4.569919e+04 7.536991e+04)	(-2.701957e+04 4.569933e+04 7.537007e+04)	(-3.196029e+01 -1.385716e-01 -1.555221e-01)
#0.00249549    	(-2.038404e+04 4.286930e+04 7.196275e+04)	(-2.035212e+04 4.286945e+04 7.196291e+04)	(-3.191710e+01 -1.565616e-01 -1.567439e-01)
#0.00311429    	(-1.555686e+04 4.081726e+04 6.959456e+04)	(-1.552499e+04 4.081744e+04 6.959472e+04)	(-3.187276e+01 -1.753572e-01 -1.563101e-01)
2.55          	(-4.744612e+03 2.927513e+04 5.379903e+04)	(-4.342393e+03 2.927080e+04 5.380326e+04)	(-4.022190e+02 4.331101e+00 -4.226827e+00)
2.6           	(-4.744694e+03 2.926416e+04 5.372032e+04)	(-4.341035e+03 2.925978e+04 5.372481e+04)	(-4.036595e+02 4.376558e+00 -4.493997e+00)
2.65          	(-4.755446e+03 2.925212e+04 5.363678e+04)	(-4.350310e+03 2.924762e+04 5.364158e+04)	(-4.051361e+02 4.494451e+00 -4.799289e+00)
2.7           	(-4.763023e+03 2.925126e+04 5.356580e+04)	(-4.356528e+03 2.924672e+04 5.357087e+04)	(-4.064949e+02 4.545082e+00 -5.073285e+00)
2.75          	(-4.768330e+03 2.921707e+04 5.347458e+04)	(-4.360757e+03 2.921248e+04 5.347991e+04)	(-4.075728e+02 4.592469e+00 -5.329628e+00)
2.8           	(-4.768680e+03 2.918652e+04 5.337406e+04)	(-4.359567e+03 2.918186e+04 5.337965e+04)	(-4.091126e+02 4.653447e+00 -5.586564e+00)
2.85          	(-4.774526e+03 2.911591e+04 5.325626e+04)	(-4.364326e+03 2.911129e+04 5.326207e+04)	(-4.101998e+02 4.620697e+00 -5.804812e+00)
2.9           	(-4.780265e+03 2.909719e+04 5.313343e+04)	(-4.369110e+03 2.909258e+04 5.313951e+04)	(-4.111549e+02 4.613800e+00 -6.075511e+00)
2.95          	(-4.783900e+03 2.904629e+04 5.303668e+04)	(-4.371501e+03 2.904179e+04 5.304293e+04)	(-4.123993e+02 4.508943e+00 -6.251635e+00)
3             	(-4.782499e+03 2.897308e+04 5.291760e+04)	(-4.369052e+03 2.896868e+04 5.292400e+04)	(-4.134467e+02 4.395546e+00 -6.402410e+00)
3.05          	(-4.785350e+03 2.895102e+04 5.280670e+04)	(-4.371163e+03 2.894673e+04 5.281331e+04)	(-4.141869e+02 4.283793e+00 -6.605448e+00)
3.1           	(-4.790702e+03 2.889656e+04 5.270088e+04)	(-4.375620e+03 2.889239e+04 5.270772e+04)	(-4.150819e+02 4.170311e+00 -6.841147e+00)
3.15          	(-4.798142e+03 2.886475e+04 5.260304e+04)	(-4.382286e+03 2.886071e+04 5.261001e+04)	(-4.158557e+02 4.033443e+00 -6.969605e+00)
3.2           	(-4.791302e+03 2.880359e+04 5.249907e+04)	(-4.374386e+03 2.879975e+04 5.250618e+04)	(-4.169160e+02 3.841162e+00 -7.108062e+00)
3.25          	(-4.794333e+03 2.874938e+04 5.239136e+04)	(-4.376432e+03 2.874562e+04 5.239870e+04)	(-4.179014e+02 3.766294e+00 -7.338449e+00)
3.3           	(-4.793994e+03 2.869143e+04 5.228822e+04)	(-4.375275e+03 2.868779e+04 5.229583e+04)	(-4.187193e+02 3.634610e+00 -7.610467e+00)
3.35          	(-4.793111e+03 2.864868e+04 5.219780e+04)	(-4.373614e+03 2.864524e+04 5.220561e+04)	(-4.194967e+02 3.441964e+00 -7.807243e+00)
3.4           	(-4.804240e+03 2.862527e+04 5.212052e+04)	(-4.383717e+03 2.862200e+04 5.212843e+04)	(-4.205229e+02 3.263205e+00 -7.902650e+00)
3.45          	(-4.804150e+03 2.858921e+04 5.204288e+04)	(-4.382486e+03 2.858611e+04 5.205096e+04)	(-4.216639e+02 3.101693e+00 -8.071497e+00)
3.5           	(-4.795902e+03 2.857286e+04 5.196715e+04)	(-4.372965e+03 2.856991e+04 5.197539e+04)	(-4.229368e+02 2.946703e+00 -8.237516e+00)
3.55          	(-4.799303e+03 2.851966e+04 5.187714e+04)	(-4.375453e+03 2.851695e+04 5.188540e+04)	(-4.238497e+02 2.713830e+00 -8.259065e+00)
3.6           	(-4.799908e+03 2.848531e+04 5.178343e+04)	(-4.375063e+03 2.848283e+04 5.179175e+04)	(-4.248456e+02 2.475312e+00 -8.318919e+00)
3.65          	(-4.799377e+03 2.844814e+04 5.168924e+04)	(-4.373557e+03 2.844580e+04 5.169761e+04)	(-4.258209e+02 2.340937e+00 -8.368200e+00)
3.7           	(-4.801735e+03 2.841918e+04 5.161543e+04)	(-4.375033e+03 2.841705e+04 5.162382e+04)	(-4.267020e+02 2.126540e+00 -8.386344e+00)
3.75          	(-4.803541e+03 2.837570e+04 5.153803e+04)	(-4.375767e+03 2.837381e+04 5.154645e+04)	(-4.277739e+02 1.885683e+00 -8.423410e+00)
